,year_dT,year_dP,DecFeb_dT,DecFeb_dP,MarMay_dT,MarMay_dP,JunAug_dT,JunAug_dP,SepNov_dT,SepNov_dP,year_dP_var,DecFeb_dP_var,MarMay_dP_var,JunAug_dP_var,SepNov_dP_var
cmcc_cm2_hr4_ssp370_2041,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp585_2041,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp126_2081,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp245_2081,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp370_2081,,,,,,,,,,,,,,,
cmcc_cm2_hr4_ssp585_2081,,,,,,,,,,,,,,,
cmcc_cm2_sr5_ssp126_2021,,,,,,,,,,,,,,,
cmcc_cm2_sr5_ssp245_2021,1.90753173828125,4.339122772216797,2.22808837890625,7.0200324058532715,2.172088623046875,7.189822196960449,1.666778564453125,-1.318979263305664,1.563201904296875,5.583679676055908,2.033950454126132,-5.553351979448462,-0.7509978678254092,-0.3509503401907921,2.967754254057575
cmcc_cm2_sr5_ssp370_2021,1.220916748046875,0.8115053176879883,1.224212646484375,6.984615325927734,0.91412353515625,5.97381591796875,1.029022216796875,-4.544585943222046,1.716156005859375,-3.525841236114502,5.754397862350036,2.172424330814149,-2.3090195227106536,1.0059864650378447,1.5287191487000529
cmcc_cm2_sr5_ssp585_2021,1.65972900390625,-3.769540786743164,1.620330810546875,3.1970977783203125,1.247589111328125,4.411017894744873,2.196075439453125,-15.88248610496521,1.574951171875,-3.95624041557312,10.027305945385855,-7.016561708447966,-1.407769787803692,7.158473330014692,7.499774010547267
cmcc_cm2_sr5_ssp126_2041,,,,,,,,,,,,,,,
cmcc_cm2_sr5_ssp245_2041,2.826171875,4.56392765045166,2.757843017578125,16.602468490600586,2.451202392578125,10.872983932495117,3.235595703125,-11.99154257774353,2.859893798828125,5.711233615875244,2.951073858337794,4.608503512998219,-0.5614176795295966,0.502778258218961,7.186194630109033
cmcc_cm2_sr5_ssp370_2041,3.5989990234375,4.0520548820495605,4.275726318359375,21.517539024353027,3.160308837890625,13.752353191375732,3.987396240234375,-12.005984783172607,2.97259521484375,-3.3459722995758057,4.188443214223891,-3.44219109817393,-5.591167643033879,4.9665130695401905,8.002604263398405
cmcc_cm2_sr5_ssp585_2041,3.48309326171875,-0.6582856178283691,2.8739013671875,13.96106481552124,3.173583984375,13.709020614624023,4.44287109375,-25.470739603042603,3.44195556640625,0.5147695541381836,5.9411182594856005,-1.0947298933074334,4.945514067830259,1.7426563655703164,9.677895867103503
cmcc_cm2_sr5_ssp126_2081,,,,,,,,,,,,,,,
cmcc_cm2_sr5_ssp245_2081,5.030181884765625,3.2078027725219727,4.50347900390625,16.04396104812622,4.75946044921875,10.12270450592041,5.87713623046875,-14.481168985366821,4.980712890625,4.321682453155518,6.584828487243244,4.880249268839609,4.448419386517588,-4.594063364089617,4.116241217251493
cmcc_cm2_sr5_ssp370_2081,5.461334228515625,7.0330023765563965,5.8067626953125,33.52597951889038,4.812591552734375,12.494301795959473,6.089874267578125,-15.318751335144043,5.1361083984375,0.9811520576477051,2.226152696105488,-2.617574272225087,-3.5772540092653737,9.153167898412807,6.839659531054454
